Url,Designer,Bag name,Type,Gender,Hardware,Material Types,Colors,Feet (bottom of bag),Exterior brand markings,Top Handle,Collection name,Years in product,Height (in),Width (in),Length (in),Depth (in),Handle Length,Fits popular devices,Material subtypes,Size (brand's name of size),Photos,Interior material,Exterior material,Shoulder Strap,Handle Drop,Includes,Product Description,Ref number,Suggested retail,Height (cm),Width (cm),Length (cm),Depth (cm),Long handle,Closure type,Exterior pockets,Interior organization,Made in country
https://www.theluxurycloset.com/women/chanel-green-quilted-leather-medium-boy-flap-bag-p534203,Chanel,Chanel Green Quilted Leather Medium Boy Flap Bag,,Women,Gunmetal Tone,,Green,,,,,2012 to 2013,5.906,3.543,9.843,,,,,,"https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-010.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-014.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-011.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-001.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-009.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-006.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-002.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-003.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-004.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-012.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-007.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p534203-008.jpg",Leather,Leather,,52 cm,"Original Dustbag, Original Box","The Boy flap bag is an icon of Chanel's. This here is a version in green leather. It brings the signature label within the leather interior and the iconic CC push lock on the flap. The piece has gunmetal-tone hardware and a shoulder chain link to place on your shoulder or across the body. The Boy flap bag, with its structured silhouette and classy style, is loved by women worldwide. Cease the wait and make this luxurious bag yours today.",534203,6320,15 cm,9 cm,25 cm,,,,,,Italy
https://www.theluxurycloset.com/women/chanel-lilac-quilted-leather-jumbo-classic-double-flap-bag-p543330,Chanel,Chanel Lilac Quilted Leather Jumbo Classic Double Flap Bag,,Women,Silver Tone,,Purple,,,,,2010 to 2011,7.874,3.346,11.811,,,,,,"https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-011.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-001.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-012.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-002.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-010.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-004.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-008.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-009.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-007.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-013.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-005.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p541805-006.jpg",Leather,Leather,33- 48 cm,,The Luxury Closet Packaging,"We are in utter awe of this flap bag from Chanel as it is appealing in a surreal way. Exquisitely crafted from leather in the quilt design, it bears the signature label on the leather interior and the iconic CC turn-lock on the flap. The piece has silver-tone hardware, and a lovely chain link just so you can easily parade it.",543330,8620,20 cm,8.5 cm,30 cm,,,,,,Italy
https://www.theluxurycloset.com/women/chanel-black-quilted-caviar-leather-large-boy-bag-p537800,Chanel,Chanel Black Quilted Caviar Leather Large Boy Bag,,Women,Gold Tone,,Black,,,,,2014 - 2015,8.661,2.756,11.811,,,,,,"https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-006.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-001.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-003.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-1637503703-015.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-005.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-009.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-013.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-012.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-010.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-011.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-002.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-007.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p537800-008.jpg",Fabric,Leather,50 cm Adjustable,,"Original Box, Original Dustbag, Authenticity Card","The Boy Flap bag is an icon of Chanel's. This here is a version in black quilted Caviar leather. It brings the signature label within the fabric interior and the iconic CC push lock on the flap. The piece has gold-tone hardware and a shoulder chain link to place on your shoulder or across the body. The Boy Flap bag, with its structured silhouette and classy style, is loved by women worldwide. Cease the wait and make this luxurious bag yours today.",537800,9120,22 cm,7 cm,30 cm,,,,,,France
https://www.theluxurycloset.com/women/chanel-pink-tweed-19-large-flap-bag-p570664,Chanel,Chanel Pink Tweed 19 Large Flap Bag,,Women,Two Tone Metal,,Pink,,,,,2019,7.087,3.346,11.811,,,,,,"https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-010.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-001.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-012.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-013.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-011.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-014.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-005.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-006.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-007.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-003.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-004.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-009.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-015.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p570664-002.jpg",Canvas,Tweed,51 cm,8 cm,"Original Dustbag, Original Box, Authenticity Card, Info Booklet","First unveiled in the Chanel Fall 2019 collection, the Chanel 19 bag is named after the year of its release, just like the Chanel 2.55. In design, the bag has exaggerated quilting and hardware in two tones. The bag has a CC twist-lock and a small chain handle to be carried by hand. This version in pink is made from tweed and lined with canvas.",570664,0,18 cm,8.5 cm,30 cm,,,,,,France
https://www.theluxurycloset.com/women/louis-vuitton-pale-blue-leather-new-wave-chain-pm-bag-p564025,Louis Vuitton,Louis Vuitton Pale Blue Leather New Wave Chain PM Bag,,Women,Gold Tone,,Blue,,,,,2019,5.118,2.559,8.268,,,,,,"https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-006.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-1640061490-013.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-008.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-004.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-010.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-009.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-001.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-005.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-007.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-002.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-013.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-new-handbags-p564025-003.jpg",Alcantara,Leather,48 cm,,The Luxury Closet Packaging,"From the New Wave collection of bags by Louis Vuitton, this creation is crafted from pale blue leather and has a distinct wavy quilt pattern on the exterior. The bag has the LV logo on the front and an Alcantara interior secured by a branded zipper pull. A shoulder strap completes the bag.",564025,2010,13 cm,6.5 cm,21 cm,,,,,,Italy
https://www.theluxurycloset.com/women/chanel-beige-quilted-leather-button-top-flap-bag-p580873,Chanel,Chanel Beige Quilted Leather Button Top Flap Bag,,Women,Gold Tone,,Beige,,,,,2020,5.906,2.756,8.661,,,,,,"https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-004.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-014.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-006.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-007.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-005.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-008.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-011.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-012.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-013.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-003.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-009.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p580873-010.jpg",Fabric,Leather,53 cm,12 cm,"Original Dustbag, Original Box, Authenticity Card, Info Booklet","Featuring a beige leather exterior with diamond quilting and gold-tone hardware accents, this flap bag from the house of Chanel is made for everyday elegance. It has the CC logo punctuated on the flap and two different handles for easy styling.",580873,0,15 cm,7 cm,22 cm,,,,,,Italy
https://www.theluxurycloset.com/women/louis-vuitton-green-palm-print-leather-twist-mm-bag-p529209,Louis Vuitton,Louis Vuitton Green Palm Print Leather Twist MM Bag,,Women,Gold Tone,,Green,,,,,2015,6.693,3.74,9.055,,,,,,"https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-005.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-001.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-004.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-003.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-006.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-011.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-009.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-007.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-002.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-012.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-louis-vuitton-used-handbags-p529209-008.jpg",Alcantara,"Coated Canvas, Leather",55 cm,,"Original Dustbag, Original Box, Pocket Mirror","It is every woman's dream to own a Louis Vuitton handbag as appealing as this one. Crafted from monogram canvas and palm-printed leather, this bag features a structured design with a chain link that can be used as a crossbody or hung on the shoulder. While the vibrant print feel elevates its beauty, the Alcantara-lined interior will dutifully hold all your daily essentials. The flap features an artistic closure wherein a single twist makes the 'L' fit into the 'V'. You're sure to make hearts skip when you swing this Twist bag.",529209,4175,17 cm,9.5 cm,23 cm,,,,,,France
https://www.theluxurycloset.com/women/chanel-black-quilted-leather-medium-boy-bag-p519806,Chanel,Chanel Black Quilted Leather Medium Boy Bag,,Women,Silver Tone,,Black,,,,,2013 - 2014,5.906,2.756,9.843,,,,,,"https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-010.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-001.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-012.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-013.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-011.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-005.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-007.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-003.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-006.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-004.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-009.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-015.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-used-handbags-p519806-002.jpg",Fabric,Leather,31 - 52 cm (Adjustable),,The Luxury Closet Packaging,"Every Chanel creation deserves to be etched with honor in the history of fashion as they carry irreplaceable style. Like this stunner of a Boy Flap that has been exquisitely crafted from quilted leather. It does not only bring a black shade but also the signature label on the fabric interior and the iconic CC push lock on the flap. The piece has silver-tone hardware, and a lovely chain link just so you can easily parade it. This flap bag, with its structured silhouette and classy style, is eyed by women worldwide. Cease the wait and make this luxurious bag yours today with pride.",519806,5420,15 cm,7 cm,25 cm,,,,,,Italy
https://www.theluxurycloset.com/women/chanel-fuchsia-quilted-leather-chain-cc-flap-coin-purse-p561553,Chanel,Chanel Fuchsia Quilted Leather Chain CC Flap Coin Purse,,Women,Gold Tone,,Pink,,,,,2021,3.543,0.787,4.724,,,,,,"https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-007.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-013.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-008.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-002.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-006.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-010.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-004.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-001.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-005.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-009.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-chanel-new-handbags-p561553-011.jpg","Leather, Fabric",Leather,55 cm,4 cm,"Original Box, Original Dustbag, Authenticity Card, Info Booklet","Made into a petite, chic-feminine silhouette and overlaid with the signature detailing of the House, this coin purse from Chanel is an accessory you surely can't miss out on\! It is lavishly shaped using fuchsia quilted leather with a gold-toned CC logo accent perched on the flap. It is designed with a top handle, a chain strap, and a leather-fabric-interior. Feminine and poised, this coin purse from Chanel is certainly a worthy investment to make.",561553,4875,9 cm,2 cm,12 cm,,,,,,France
https://www.theluxurycloset.com/women/hermes-black-epsom-leather-constance-18-shoulder-bag-p557633,Hermes,Hermes Black Epsom Leather Constance 18 Shoulder Bag,,Women,,,Black,,,,,2021,2.165,0.787,2.854,,,,,,"https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-hermes-new-handbags-p557633-003.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-hermes-new-handbags-p557633-005.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-hermes-new-handbags-p557633-004.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-hermes-new-handbags-p557633-008.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-hermes-new-handbags-p557633-007.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-hermes-new-handbags-p557633-006.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-hermes-new-handbags-p557633-002.jpg, https://cdn.theluxurycloset.com/uploads/opt/products/full/luxury-women-hermes-new-handbags-p557633-001.jpg",,Epsom Leather,20 inches,10 inches,"Original Box, Dustbag, Care Booklet and Felt Protector","This bag, from the house of Hermes, is the epitome of utility and design. This black bag will look unbelievable with a diverse outfit. Be the trendsetter this season by adorning this classy Epsom leather bag.",557633,0,5.5 inches,2.0 inches,7.25 inches,,,,,,
