Url,Designer,Bag name,Type,Gender,Hardware,Material Types,Colors,Feet (bottom of bag),Exterior brand markings,Top Handle,Collection name,Years in product,Height (in),Width (in),Length (in),Depth (in),Handle Length,Fits popular devices,Material subtypes,Size (brand's name of size),Photos,Interior material,Exterior material,Shoulder Strap,Handle Drop,Includes,Product Description,Ref number,Suggested retail,Height (cm),Width (cm),Length (cm),Depth (cm),Long handle,Closure type,Exterior pockets,Interior organization,Made in country
https://www.therealreal.com/products/women/handbags/shoulder-bags/chanel-reissue-e-w-flap-bag-czzbs,Chanel,Reissue E/W Flap Bag,,Women,,,,,,,,,2.362,3.937,,0.787,,,,,"https://product-images.therealreal.com/CHA690552_1_enlarged.jpg, https://product-images.therealreal.com/CHA690552_2_enlarged.jpg, https://product-images.therealreal.com/CHA690552_3_enlarged.jpg, https://product-images.therealreal.com/CHA690552_4_enlarged.jpg, https://product-images.therealreal.com/CHA690552_5_enlarged.jpg",,,10,,,"Chanel Shoulder Bag
Black Leather
Gold-Tone Hardware
Chain-Link Shoulder Straps
Single Exterior Pocket
Leather Lining & Three Interior Pockets
Turn-Lock Closure at Front
Includes Authenticity Card
Faint wear at corners; minor marks at interior.",CHA690552,3050,"6""","10""",,"2""",,,,,
https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-damier-ebene-bloomsbury-pm-czyew,Louis Vuitton,Damier Ebene Bloomsbury PM,,Women,,,,,,,,,4.331,4.921,,0.394,,,,,"https://product-images.therealreal.com/LOU535653_1_enlarged.jpg, https://product-images.therealreal.com/LOU535653_2_enlarged.jpg, https://product-images.therealreal.com/LOU535653_3_enlarged.jpg, https://product-images.therealreal.com/LOU535653_4_enlarged.jpg, https://product-images.therealreal.com/LOU535653_5_enlarged.jpg",,,21.5,,,"Louis Vuitton Shoulder Bag
From the 2013 Collection
Brown Coated Canvas
Damier Ebene Pattern
Brass Hardware
Single Adjustable Shoulder Strap
Single Exterior Pocket
Canvas Lining & Dual Interior Pockets
Zip Closure at Top
Moderate discoloration at interior; light spots at interior; minor tarnishing at hardware; moderate fading and marks throughout.",LOU535653,1270,"11""","12.5""",,"1""",,,,,
https://www.therealreal.com/products/women/handbags/totes/louis-vuitton-damier-ebene-neverfull-mm-czrxq,Louis Vuitton,Damier Ebene Neverfull MM,,Women,,,,,,,,,4.429,7.283,,2.461,,,,,"https://product-images.therealreal.com/LOU535459_1_enlarged.jpg, https://product-images.therealreal.com/LOU535459_2_enlarged.jpg, https://product-images.therealreal.com/LOU535459_3_enlarged.jpg, https://product-images.therealreal.com/LOU535459_4_enlarged.jpg, https://product-images.therealreal.com/LOU535459_5_enlarged.jpg",,,8,,,"Louis Vuitton Tote
From the 2011 Collection
Brown Coated Canvas
Damier Ebene Pattern
Brass Hardware
Leather Trim
Dual Shoulder Straps
Leather Trim Embellishment
Canvas Lining & Single Interior Pocket
Clasp Closure at Top
Minor marks at pocket; minor spots at interior; minor fading at handles; light residue at interior; light wear at strap base.",LOU535459,1540,"11.25""","18.5""",,"6.25""",,,,,
https://www.therealreal.com/products/women/handbags/totes/louis-vuitton-monogram-totally-mm-ctzqr,Louis Vuitton,Monogram Totally MM,,Women,,,,,,,,,4.724,6.398,,2.362,,,,,"https://product-images.therealreal.com/LOU526068_1_enlarged.jpg, https://product-images.therealreal.com/LOU526068_2_enlarged.jpg, https://product-images.therealreal.com/LOU526068_3_enlarged.jpg, https://product-images.therealreal.com/LOU526068_4_enlarged.jpg, https://product-images.therealreal.com/LOU526068_5_enlarged.jpg",,,10.25,,,"Louis Vuitton Messenger Bag
From the 2013 Collection
Brown Coated Canvas
Monogram Pattern
Brass Hardware
Leather Trim
Dual Shoulder Straps
Leather Trim Embellishment & Dual Exterior Pockets
Canvas Lining & Three Interior Pockets
Zip Closure at Top
Includes Dust Bag
Moderate patina at straps; moderate pilling at piping; light wear at interior; minor mark at pocket; slight tarnishing at hardware; minor pilling at side.",LOU526068,1430,"12""","16.25""",,"6""",,,,,
https://www.therealreal.com/products/women/handbags/hobos/louis-vuitton-monogram-empreinte-melie-czn70,Louis Vuitton,Monogram Empreinte Mélie,,Women,,,,,,,,,5.118,4.724,,1.772,,,,,"https://product-images.therealreal.com/LOU535287_1_enlarged.jpg, https://product-images.therealreal.com/LOU535287_2_enlarged.jpg, https://product-images.therealreal.com/LOU535287_3_enlarged.jpg, https://product-images.therealreal.com/LOU535287_4_enlarged.jpg, https://product-images.therealreal.com/LOU535287_5_enlarged.jpg",,,,"4""",,"Louis Vuitton Hobo
From the 2017 Collection by Nicolas Ghesquière
Blue Empreinte Leather
LV Monogram
Brass Hardware
Flat Handle
Dual Exterior Pockets
Canvas Lining & Three Interior Pockets
Open Top
Protective Feet at Base
Minor mark at interior.",LOU535287,2930,"13""","12""",,"4.5""",,,,,
https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-damier-ebene-speedy-25-czll8,Louis Vuitton,Damier Ebene Speedy 25,,Women,,,,,,,,,2.953,3.937,,2.165,,,,,"https://product-images.therealreal.com/LOU535227_1_enlarged.jpg, https://product-images.therealreal.com/LOU535227_2_enlarged.jpg, https://product-images.therealreal.com/LOU535227_3_enlarged.jpg, https://product-images.therealreal.com/LOU535227_4_enlarged.jpg, https://product-images.therealreal.com/LOU535227_5_enlarged.jpg",,,3,,,"Louis Vuitton Top Handle Bag
Brown Coated Canvas
Damier Ebene Pattern
Brass Hardware
Leather Trim
Rolled Handles
Canvas Lining & Single Interior Pocket
Zip Closure at Top
Includes Dust Bag, Lock & Keys
Minor tarnishing at hardware.",LOU535227,1490,"7.5""","10""",,"5.5""",,,,,
https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-monogram-speedy-35-czjmt,Louis Vuitton,Monogram Speedy 35,,Women,,,,,,,,,4.331,5.512,,2.756,,,,,"https://product-images.therealreal.com/LOU535147_1_enlarged.jpg, https://product-images.therealreal.com/LOU535147_2_enlarged.jpg, https://product-images.therealreal.com/LOU535147_3_enlarged.jpg, https://product-images.therealreal.com/LOU535147_4_enlarged.jpg, https://product-images.therealreal.com/LOU535147_5_enlarged.jpg",,,,"3.5""",,"Louis Vuitton Top Handle Bag
From the 2005 Collection
Brown Coated Canvas
Monogram Pattern
Brass Hardware
Leather Trim
Rolled Handles
Canvas Lining & Single Interior Pocket
Zip Closure at Top
Includes Dust Bag
Light scuffs at trim; minor patina at handles.",LOU535147,1390,"11""","14""",,"7""",,,,,
https://www.therealreal.com/products/women/handbags/totes/louis-vuitton-city-steamer-mm-czjkp,Louis Vuitton,City Steamer MM,,Women,,,,,,,,,4.035,4.823,,2.264,,,,,"https://product-images.therealreal.com/LOU535145_1_enlarged.jpg, https://product-images.therealreal.com/LOU535145_2_enlarged.jpg, https://product-images.therealreal.com/LOU535145_3_enlarged.jpg, https://product-images.therealreal.com/LOU535145_4_enlarged.jpg, https://product-images.therealreal.com/LOU535145_5_enlarged.jpg, https://product-images.therealreal.com/LOU535145_6_enlarged.jpg",,,,"4.25""",,"Louis Vuitton Weekender Bag
From the 2016 Collection
Black & Neutrals Leather
Colorblock Pattern
Gold-Tone Hardware
Rolled Handles
Leather Lining & Four Interior Pockets
Turn-Lock Closure at Front
Protective Feet at Base
Includes Dust Bag, Lock, Keys & Luggage Tag
No visible signs of wear.",LOU535145,4350,"10.25""","12.25""",,"5.75""",,,,,
https://www.therealreal.com/products/women/handbags/totes/louis-vuitton-monogram-vernis-alma-gm-cziyj,Louis Vuitton,Monogram Vernis Alma GM,,Women,,,,,,,,,4.331,5.906,,2.756,,,,,"https://product-images.therealreal.com/LOU535134_1_enlarged.jpg, https://product-images.therealreal.com/LOU535134_2_enlarged.jpg, https://product-images.therealreal.com/LOU535134_3_enlarged.jpg, https://product-images.therealreal.com/LOU535134_4_enlarged.jpg, https://product-images.therealreal.com/LOU535134_5_enlarged.jpg",,,,"4.5""",,"Louis Vuitton Top Handle Bag
Red Patent Leather
Brass Hardware
Rolled Handles
Twill Lining & Single Interior Pocket
Zip Closure at Top
Protective Feet at Base
Includes Dust Bag
Minor spot at interior; light mark at exterior.",LOU535134,1195,"11""","15""",,"7""",,,,,
https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-2019-monogram-speedy-bandouliere-30-czisq,Louis Vuitton,2019 Monogram Speedy Bandoulière 30,,Women,,,,,,,,,4.331,4.724,,2.756,,,,,"https://product-images.therealreal.com/LOU535130_1_enlarged.jpg, https://product-images.therealreal.com/LOU535130_2_enlarged.jpg, https://product-images.therealreal.com/LOU535130_3_enlarged.jpg, https://product-images.therealreal.com/LOU535130_4_enlarged.jpg, https://product-images.therealreal.com/LOU535130_5_enlarged.jpg",,,22,"3.5""",,"Louis Vuitton Top Handle Bag
Brown Coated Canvas
Printed
Brass Hardware
Leather Trim
Rolled Handles & Single Adjustable Shoulder Strap
Leather Trim Embellishment
Canvas Lining & Single Interior Pocket
Zip Closure at Top
Minor scuffing throughout; minor scuffing at piping; minor scuffing at base; minor water marks at leather; minor fading at interior.",LOU535130,1645,"11""","12""",,"7""",,,,,
