rank,term,popularity,pop_num,growth_pct,brand,suggested_content,our_page,sat_priority,creators_saturation,content_status
1,the telfar bag,4.98M,4980000,,Telfar,Video (trend showcase),,4980.0,,
2,miu miu city bag,4.31M,4310000,,Miu Miu,Video (trend showcase),,4310.0,,
3,chanel 25bag,2.82M,2820000,49.1%,Chanel,Video (style/size showcase),,4523.8,,
4,balenciaga foil bag,2.38M,2380000,1000%+,Balenciaga,Video (trend showcase),,2530.0,,
5,vintage Mombasa bag,1.11M,1110000,,General / multi-brand,Video (trend showcase),,1221.0,,
6,large LV vanity bag,1.09M,1090000,,Louis Vuitton,Video (trend showcase),,1362.5,,
7,balenciaga purse,1.01M,1010000,102.3%,Balenciaga,Video (trend showcase),,1025.3,,
8,birkin bag xxl,757K,757000,,Hermès,Video (trend showcase),,1211.2,,
9,Balenciaga rodeo bag,742K,742000,125.6%,Balenciaga,Video (trend showcase),,760.8,,
10,lady dior bags,665K,665000,131.5%,Dior,Video (trend showcase),/articles (smaller-bag-cost / lady dior),855.9,,
11,coach tote bag for school,657K,657000,193.1%,Coach,Video (style/size showcase),,1097.5,,
12,Chanel paired with grunge style,557K,557000,82.0%,Chanel,Video (trend showcase),,910.9,,
13,coach trail bag,555K,555000,237.4%,Coach,Video (trend showcase),,945.0,,
14,margiela bags,504K,504000,,Margiela,Video (trend showcase),,504.0,,
15,dior romantique bag,472K,472000,197.0%,Dior,Video (trend showcase),,626.9,,
16,pearly pink goyard,459K,459000,136.3%,Goyard,Video (trend showcase),,599.3,,
17,the row marlo bag 17,447K,447000,33.0%,The Row,Video (trend showcase),,451.9,,
18,jeremy coach bag,442K,442000,51.0%,Coach,Video (trend showcase),,719.4,,
19,chanel maxi flap bag 2026,435K,435000,,Chanel,Video (style/size showcase),,696.0,,
20,new chanel vs old chanel,431K,431000,,Chanel,Article + video (explainer/comparison),,931.0,,
21,goyard side bag,425K,425000,131.0%,Goyard,Video (trend showcase),,555.8,,
22,howl's moving castle Loewe,423K,423000,,Loewe,Video (trend showcase),,423.0,,
23,LV speedy purse,422K,422000,,Louis Vuitton,Video (trend showcase),,527.5,,
24,Chanel style,403K,403000,31.5%,Chanel,Video (trend showcase),,7.6,,
25,dior malice pearl bag,396K,396000,,Dior,Video (trend showcase),,495.0,,
26,Alpine Gucci bag,394K,394000,,Gucci,Video (trend showcase),,492.5,,
27,hermes constance bag,386K,386000,38.4%,Hermès,Video (trend showcase),,626.8,,
28,celine luggage tote,378K,378000,41.3%,Celine,Video (style/size showcase),,384.2,,
29,louis vuitton by marc jacobs,375K,375000,106.6%,Louis Vuitton,Video (trend showcase),,488.7,,
30,hermes store,373K,373000,119.2%,Hermès,Video (trend showcase),,625.4,,
31,Chanel Boy Bag,370K,370000,,Chanel,Video (trend showcase),,592.0,,
32,teal chanel,366K,366000,57.9%,Chanel,Video (trend showcase),,599.5,,
33,LV all in bb bag,354K,354000,281.8%,Louis Vuitton,Video (trend showcase),,495.3,,
34,Louis Vuitton Diane Bag,352K,352000,143.4%,Louis Vuitton,Video (trend showcase),,466.9,,
35,goyard bag backpack,337K,337000,,Goyard,Video (style/size showcase),,421.2,,
36,birkin 25 bag mini,333K,333000,188.7%,Hermès,Video (style/size showcase),,578.1,,
37,erin coach bag,322K,322000,,Coach,Video (trend showcase),,515.2,,
38,louis vuitton 2026 kelly,322K,322000,,Hermès,Video (trend showcase),,515.2,,
39,shoulder birkin,319K,319000,,Hermès,Video (trend showcase),,510.4,,
